date,open,high,low,close,volume,symbol
2021-04-26,166.63,166.87,166.05,166.84,3960107,GLD
2021-04-27,166.92,167.15,166.28,166.42,4542059,GLD
2021-04-28,165.75,166.96,165.49,166.91,5333674,GLD
2021-04-29,165.58,166.26,164.47,166.22,7164062,GLD
2021-04-30,165.86,166.0,165.24,165.66,5042309,GLD
2021-05-03,167.61,168.43,167.41,167.81,6806536,GLD
2021-05-04,167.69,168.55,165.5,166.58,8465560,GLD
2021-05-05,166.63,167.31,166.61,167.27,5041985,GLD
2021-05-06,167.95,170.29,167.92,170.06,11322401,GLD
2021-05-07,171.53,172.56,171.0,171.59,10760512,GLD
2021-05-10,172.74,172.84,171.78,172.11,6693999,GLD
2021-05-11,170.56,172.17,170.27,172.14,6806526,GLD
2021-05-12,171.43,171.84,170.34,170.43,9344128,GLD
2021-05-13,170.35,171.27,170.22,171.13,6403706,GLD
2021-05-14,172.05,172.7,171.82,172.69,7635253,GLD
2021-05-17,173.3,175.0,173.28,174.7,9803363,GLD
2021-05-18,175.18,175.21,174.46,175.04,5963060,GLD
2021-05-19,175.14,177.0,174.34,175.16,16629960,GLD
2021-05-20,175.32,176.46,175.11,175.96,8401737,GLD
2021-05-21,176.58,176.87,175.14,176.04,6342638,GLD
2021-05-24,176.15,176.59,175.87,176.35,4305283,GLD
2021-05-25,176.15,177.95,176.04,177.95,6869535,GLD
2021-05-26,178.37,178.61,177.04,177.64,6951498,GLD
2021-05-27,177.4,177.82,176.81,177.71,5804940,GLD
2021-05-28,177.46,178.43,177.24,178.38,6683632,GLD
2021-06-01,178.76,178.85,177.19,177.9,7484773,GLD
2021-06-02,178.34,178.78,177.97,178.77,4726446,GLD
2021-06-03,175.83,175.83,174.66,175.27,7768088,GLD
2021-06-04,176.64,177.57,176.61,177.16,5723376,GLD
2021-06-07,176.96,177.9,176.63,177.87,4666155,GLD
2021-06-08,177.22,177.54,176.37,177.32,4800559,GLD
2021-06-09,177.38,177.8,176.78,176.98,4906572,GLD
2021-06-10,176.7,177.85,176.48,177.74,6810286,GLD
2021-06-11,176.33,176.57,175.48,175.74,6025337,GLD
2021-06-14,173.16,175.06,172.95,174.71,5879801,GLD
2021-06-15,174.78,174.92,173.34,174.05,5660199,GLD
2021-06-16,173.91,174.47,171.03,171.11,13061642,GLD
2021-06-17,167.02,167.62,165.44,165.85,20320848,GLD
2021-06-18,166.14,166.72,164.87,164.93,9589256,GLD
2021-06-21,166.52,167.23,166.0,166.95,5761775,GLD
2021-06-22,166.35,166.92,166.01,166.25,5429481,GLD
2021-06-23,166.97,168.03,165.97,166.14,6693137,GLD
2021-06-24,167.0,167.23,166.01,166.04,5816375,GLD
2021-06-25,167.45,167.53,166.29,166.59,5736842,GLD
2021-06-28,166.68,166.91,166.35,166.58,4137297,GLD
2021-06-29,164.34,165.28,164.01,164.83,5857723,GLD
2021-06-30,164.57,166.1,164.29,165.63,5710039,GLD
2021-07-01,166.65,166.88,165.5,166.2,5748796,GLD
2021-07-02,167.35,167.72,166.4,167.29,5446125,GLD
2021-07-06,169.27,169.65,167.54,168.12,6107523,GLD
2021-07-07,168.72,169.23,168.19,168.76,5794832,GLD
2021-07-08,169.82,169.86,167.91,168.65,5893853,GLD
2021-07-09,168.84,169.62,168.66,169.21,4069152,GLD
2021-07-12,168.7,169.16,167.64,169.0,5260902,GLD
2021-07-13,169.49,169.9,168.93,169.22,5186707,GLD
