date,open,high,low,close,volume,symbol
2021-04-26,227.0,228.69,226.75,228.11,13996174,IWM
2021-04-27,228.77,229.39,227.51,228.45,14178774,IWM
2021-04-28,228.03,229.49,227.1,228.84,11815852,IWM
2021-04-29,230.85,230.95,225.79,227.99,17217433,IWM
2021-04-30,225.72,227.8,224.14,224.89,16995165,IWM
2021-05-03,227.21,227.41,224.92,225.99,13196785,IWM
2021-05-04,224.6,224.9,220.95,223.29,20131634,IWM
2021-05-05,224.28,224.54,221.36,222.4,17589533,IWM
2021-05-06,222.65,222.81,218.64,222.59,20689703,IWM
2021-05-07,222.64,225.93,222.16,225.39,19786781,IWM
2021-05-10,225.23,225.67,219.59,219.66,20236534,IWM
2021-05-11,214.92,220.39,214.42,218.96,29708515,IWM
2021-05-12,217.09,218.77,211.54,211.85,29338461,IWM
2021-05-13,213.31,217.44,211.8,215.75,28300775,IWM
2021-05-14,217.94,221.41,216.88,221.02,18033685,IWM
2021-05-17,219.78,221.39,217.9,221.32,14600662,IWM
2021-05-18,221.39,223.24,219.47,219.64,17936977,IWM
2021-05-19,215.99,218.16,214.05,217.95,23976884,IWM
2021-05-20,218.25,219.87,216.33,219.4,19105286,IWM
2021-05-21,221.29,222.37,219.51,219.97,15687097,IWM
2021-05-24,221.18,222.45,220.0,221.4,13700851,IWM
2021-05-25,222.25,223.71,219.19,219.26,14842886,IWM
2021-05-26,220.13,223.69,220.12,223.35,15158126,IWM
2021-05-27,225.09,226.36,224.18,225.65,15154873,IWM
2021-05-28,227.08,227.18,225.05,225.5,13565284,IWM
2021-06-01,227.46,228.56,225.96,228.06,17983135,IWM
2021-06-02,228.9,228.92,226.82,228.33,14501037,IWM
2021-06-03,226.82,227.62,224.04,226.42,18466771,IWM
2021-06-04,227.47,228.06,226.21,227.4,13060451,IWM
2021-06-07,227.89,230.78,227.89,230.45,16210388,IWM
2021-06-08,231.45,233.49,229.98,232.89,18954869,IWM
2021-06-09,233.54,233.64,230.98,231.34,12442877,IWM
2021-06-10,231.68,232.18,228.71,229.28,15955270,IWM
2021-06-11,230.3,231.8,230.07,231.7,12635467,IWM
2021-06-14,232.33,233.35,230.14,231.02,13737799,IWM
2021-06-15,231.12,231.47,228.47,230.36,11746924,IWM
2021-06-16,229.7,230.68,227.64,229.87,17970193,IWM
2021-06-17,229.22,230.2,224.52,227.29,25467385,IWM
2021-06-18,223.7,225.74,221.13,222.13,34723900,IWM
2021-06-21,224.05,227.5,223.28,226.88,19692090,IWM
2021-06-22,226.27,228.41,224.72,227.91,16595889,IWM
2021-06-23,227.99,229.96,227.99,228.66,13352724,IWM
2021-06-24,230.09,231.89,229.49,231.89,15237853,IWM
2021-06-25,232.25,233.41,231.75,232.28,15224886,IWM
2021-06-28,232.22,232.59,228.77,230.44,18846719,IWM
2021-06-29,231.22,231.73,228.77,229.34,14351520,IWM
2021-06-30,228.63,230.32,227.76,229.37,15541335,IWM
2021-07-01,230.81,231.85,229.71,231.39,14106679,IWM
2021-07-02,232.0,232.08,228.56,229.19,15958882,IWM
2021-07-06,229.36,229.46,223.87,225.86,21792674,IWM
2021-07-07,225.54,226.67,221.8,223.76,21025438,IWM
2021-07-08,219.3,224.08,217.85,221.7,32561444,IWM
2021-07-09,224.16,226.45,223.34,226.38,17905559,IWM
2021-07-12,225.56,226.89,224.55,226.57,13350695,IWM
2021-07-13,225.24,225.74,222.22,222.3,20229939,IWM
2021-07-14,223.71,224.36,218.55,218.87,24401143,IWM
2021-07-15,217.83,219.06,214.94,217.63,34023365,IWM
2021-07-16,219.83,219.88,214.47,214.95,25656636,IWM
2021-07-19,210.63,214.45,209.05,211.73,44710697,IWM
2021-07-20,212.2,219.27,211.26,218.3,28060835,IWM
2021-07-21,219.45,222.22,219.36,222.06,21290335,IWM
2021-07-22,221.47,221.57,217.58,218.53,24275416,IWM
2021-07-23,219.86,219.95,216.91,219.55,18271650,IWM
2021-07-26,220.4,222.05,219.15,220.19,17065395,IWM
2021-07-27,219.01,219.08,215.38,217.62,26879026,IWM
2021-07-28,218.88,222.59,217.4,220.82,26105139,IWM
2021-07-29,222.79,224.44,222.14,222.52,17755178,IWM
2021-07-30,221.72,224.05,220.27,221.05,21719815,IWM
2021-08-02,222.47,224.55,219.64,219.95,19239673,IWM
2021-08-03,220.62,221.12,217.1,220.86,22122236,IWM
2021-08-04,219.1,221.2,217.89,218.11,19867783,IWM
2021-08-05,219.09,222.44,218.68,222.03,17865533,IWM
2021-08-06,223.75,225.21,222.14,223.39,18415201,IWM
2021-08-09,222.92,223.19,221.21,222.16,14839922,IWM
2021-08-10,222.64,223.22,221.19,222.6,17673704,IWM
2021-08-11,223.02,223.73,220.47,223.69,20673924,IWM
2021-08-12,223.77,223.84,221.71,223.16,17512072,IWM
2021-08-13,222.98,223.3,220.7,221.13,14253456,IWM
2021-08-16,219.77,220.26,217.65,219.07,19365658,IWM
2021-08-17,216.66,217.44,213.75,216.4,28551559,IWM
2021-08-18,216.1,218.04,214.37,214.51,22572133,IWM
2021-08-19,212.43,214.07,210.68,211.94,30391796,IWM
2021-08-20,212.1,216.02,211.42,215.52,23404422,IWM
2021-08-23,217.48,219.94,217.44,219.62,21007582,IWM
2021-08-24,220.32,221.92,219.69,221.78,13732898,IWM
2021-08-25,221.77,223.97,220.85,222.56,15017982,IWM
2021-08-26,222.14,223.16,219.74,220.2,18216008,IWM
2021-08-27,220.6,227.03,220.57,226.41,24653260,IWM
2021-08-30,227.27,227.35,224.98,225.48,15836622,IWM
2021-08-31,225.24,226.61,224.33,225.92,13259893,IWM
2021-09-01,226.83,228.24,224.87,227.44,15708437,IWM
2021-09-02,228.33,229.84,227.6,229.02,15513352,IWM
2021-09-03,228.24,228.97,227.19,227.96,12618701,IWM
2021-09-07,227.72,229.0,226.25,226.39,14897579,IWM
2021-09-08,225.59,225.97,222.63,223.92,19257318,IWM
2021-09-09,223.53,226.29,222.96,223.81,20221325,IWM
2021-09-10,225.16,225.29,221.52,221.62,17554461,IWM
2021-09-13,223.21,223.38,220.25,222.88,27089301,IWM
2021-09-14,223.75,223.77,219.07,220.04,23195703,IWM
2021-09-15,219.94,222.74,219.46,222.03,19191053,IWM
2021-09-16,222.26,223.34,220.26,222.19,16374626,IWM
2021-09-17,221.62,223.03,220.64,222.48,23414397,IWM
2021-09-20,217.41,218.99,214.22,217.19,32422659,IWM
2021-09-21,218.76,219.29,215.82,217.52,20511869,IWM
2021-09-22,218.89,222.55,218.84,220.9,23585865,IWM
2021-09-23,222.18,225.65,221.56,224.81,20081797,IWM
2021-09-24,222.94,224.36,221.84,223.05,17861294,IWM
2021-09-27,223.62,227.68,223.53,226.44,21376874,IWM
2021-09-28,225.41,225.6,220.85,221.29,29811549,IWM
