date,open,high,low,close,volume,symbol
2021-04-26,339.66,341.92,338.9,341.63,19639938,QQQ
2021-04-27,341.93,342.15,339.17,340.15,23605800,QQQ
2021-04-28,339.81,340.85,338.33,339.0,24101284,QQQ
2021-04-29,342.35,342.8,336.9,340.22,28579156,QQQ
2021-04-30,337.7,340.26,337.05,337.99,27418774,QQQ
2021-05-03,339.24,340.0,335.73,336.19,23379728,QQQ
2021-05-04,333.56,333.89,326.21,330.14,50896747,QQQ
2021-05-05,332.25,333.14,328.23,329.03,35224217,QQQ
2021-05-06,328.76,331.67,326.45,331.51,37026519,QQQ
2021-05-07,334.39,336.65,333.06,334.2,36407451,QQQ
2021-05-10,332.78,332.96,325.55,325.76,44854108,QQQ
2021-05-11,319.7,326.13,319.02,325.31,54738025,QQQ
2021-05-12,320.23,322.62,316.0,316.89,64347170,QQQ
2021-05-13,319.92,322.4,316.9,319.34,50560463,QQQ
2021-05-14,322.63,327.33,322.08,326.39,35048632,QQQ
2021-05-17,324.61,325.35,321.45,324.41,29271367,QQQ
2021-05-18,325.41,326.65,321.94,322.22,26902434,QQQ
2021-05-19,316.66,322.9,316.3,322.59,50399180,QQQ
2021-05-20,324.12,329.71,323.89,328.83,35209152,QQQ
2021-05-21,330.48,330.86,326.64,327.01,30521449,QQQ
2021-05-24,329.37,333.67,329.0,332.51,22334756,QQQ
2021-05-25,334.07,334.81,331.75,332.97,24186612,QQQ
2021-05-26,333.66,334.61,332.95,334.13,19265569,QQQ
2021-05-27,333.66,334.54,332.67,332.88,20057230,QQQ
2021-05-28,334.14,335.57,333.6,333.93,19679148,QQQ
2021-06-01,335.31,335.79,331.43,332.82,24037275,QQQ
2021-06-02,333.25,334.34,331.69,333.47,17722950,QQQ
2021-06-03,330.55,331.86,328.28,330.0,28193178,QQQ
2021-06-04,331.86,336.06,331.78,335.6,25320559,QQQ
2021-06-07,335.02,336.66,334.34,336.6,22321338,QQQ
2021-06-08,338.49,339.29,335.03,336.76,19541642,QQQ
2021-06-09,338.18,338.97,336.65,336.84,17319360,QQQ
2021-06-10,337.22,340.46,336.73,340.35,24769313,QQQ
2021-06-11,340.36,341.25,339.69,341.24,15906351,QQQ
2021-06-14,341.68,344.51,340.46,344.51,19904394,QQQ
2021-06-15,344.15,344.47,341.52,342.26,25968777,QQQ
2021-06-16,342.74,343.84,337.45,341.01,42200134,QQQ
2021-06-17,339.97,346.38,339.92,345.34,39129555,QQQ
2021-06-18,343.63,344.81,341.86,342.63,31643499,QQQ
2021-06-21,342.43,344.69,340.15,344.36,22727116,QQQ
2021-06-22,344.15,348.03,343.84,347.57,21843595,QQQ
2021-06-23,347.51,348.92,346.88,347.74,18977596,QQQ
2021-06-24,349.74,351.46,349.17,349.89,23932009,QQQ
2021-06-25,350.47,350.72,348.84,349.46,20841390,QQQ
2021-06-28,350.78,353.85,350.72,353.71,26563372,QQQ
2021-06-29,353.53,355.02,352.67,354.99,19808567,QQQ
2021-06-30,354.82,355.23,353.83,354.43,22366053,QQQ
2021-07-01,354.07,355.09,352.68,354.57,22882005,QQQ
2021-07-02,356.54,358.97,356.28,358.64,21002660,QQQ
2021-07-06,359.27,360.48,356.49,360.19,26172696,QQQ
2021-07-07,362.45,362.76,358.94,360.95,27348351,QQQ
2021-07-08,355.74,359.65,354.42,358.77,37395261,QQQ
2021-07-09,358.17,361.5,357.57,361.01,24708122,QQQ
2021-07-12,362.45,362.89,360.83,362.42,18322618,QQQ
2021-07-13,362.04,365.47,361.54,362.42,30461388,QQQ
2021-07-14,364.81,365.49,362.22,363.07,26442080,QQQ
2021-07-15,362.98,363.19,358.46,360.52,36799428,QQQ
2021-07-16,361.41,362.41,357.24,357.6,31433545,QQQ
2021-07-19,354.05,355.18,352.04,354.67,45723242,QQQ
2021-07-20,355.65,360.28,353.8,358.79,27529907,QQQ
2021-07-21,358.35,361.56,358.12,361.56,20863238,QQQ
2021-07-22,361.75,363.96,361.75,363.95,20808686,QQQ
2021-07-23,365.31,368.49,364.04,368.2,21474075,QQQ
2021-07-26,367.49,368.89,366.6,368.49,21058423,QQQ
2021-07-27,368.19,368.22,360.16,364.43,44667181,QQQ
2021-07-28,365.6,367.45,363.24,365.83,32121766,QQQ
2021-07-29,365.25,367.68,365.25,366.48,16521055,QQQ
