date,open,high,low,close,volume,symbol
2021-05-03,86.25,86.27,86.25,86.26,2555680,SHY
2021-05-04,86.26,86.28,86.26,86.26,1743214,SHY
2021-05-05,86.26,86.28,86.26,86.28,1164858,SHY
2021-05-06,86.29,86.29,86.27,86.28,1752539,SHY
2021-05-07,86.31,86.32,86.3,86.31,1667206,SHY
2021-05-10,86.29,86.3,86.28,86.28,2115993,SHY
2021-05-11,86.28,86.29,86.27,86.27,2325826,SHY
2021-05-12,86.24,86.26,86.24,86.26,2893771,SHY
2021-05-13,86.27,86.28,86.26,86.28,4422279,SHY
2021-05-14,86.28,86.29,86.28,86.28,2845513,SHY
2021-05-17,86.27,86.29,86.27,86.28,3290483,SHY
2021-05-18,86.29,86.29,86.28,86.29,3178887,SHY
2021-05-19,86.29,86.3,86.26,86.26,4871118,SHY
2021-05-20,86.28,86.3,86.27,86.3,3100539,SHY
2021-05-21,86.3,86.3,86.28,86.28,1239416,SHY
2021-05-24,86.29,86.3,86.28,86.3,2244598,SHY
2021-05-25,86.3,86.31,86.29,86.3,1911294,SHY
2021-05-26,86.32,86.32,86.31,86.32,1628558,SHY
2021-05-27,86.31,86.32,86.3,86.32,1150000,SHY
2021-05-28,86.31,86.33,86.31,86.32,1852050,SHY
2021-06-01,86.29,86.31,86.29,86.29,2010257,SHY
2021-06-02,86.31,86.31,86.29,86.3,1061952,SHY
2021-06-03,86.29,86.29,86.27,86.27,1400289,SHY
2021-06-04,86.29,86.3,86.29,86.3,1851285,SHY
2021-06-07,86.29,86.29,86.28,86.29,1092928,SHY
2021-06-08,86.3,86.31,86.3,86.31,1094851,SHY
2021-06-09,86.32,86.32,86.29,86.29,1738775,SHY
2021-06-10,86.29,86.32,86.28,86.32,1568682,SHY
2021-06-11,86.32,86.32,86.3,86.3,1505544,SHY
2021-06-14,86.29,86.3,86.27,86.27,3325437,SHY
2021-06-15,86.28,86.28,86.26,86.26,2073101,SHY
2021-06-16,86.28,86.28,86.17,86.18,1850359,SHY
2021-06-17,86.2,86.2,86.17,86.17,2344055,SHY
2021-06-18,86.12,86.13,86.05,86.11,3965380,SHY
2021-06-21,86.09,86.13,86.08,86.13,3769819,SHY
2021-06-22,86.15,86.18,86.14,86.18,2329719,SHY
2021-06-23,86.17,86.17,86.12,86.12,2501822,SHY
2021-06-24,86.13,86.14,86.12,86.13,948190,SHY
2021-06-25,86.13,86.14,86.12,86.12,1160662,SHY
2021-06-28,86.14,86.15,86.13,86.15,1279135,SHY
2021-06-29,86.13,86.15,86.13,86.14,1467535,SHY
2021-06-30,86.16,86.16,86.14,86.16,2174785,SHY
2021-07-01,86.14,86.14,86.12,86.13,2040044,SHY
2021-07-02,86.16,86.17,86.14,86.17,1616176,SHY
2021-07-06,86.17,86.21,86.16,86.2,2932924,SHY
2021-07-07,86.19,86.21,86.18,86.21,1403532,SHY
2021-07-08,86.23,86.26,86.23,86.25,1223635,SHY
2021-07-09,86.23,86.24,86.21,86.22,949063,SHY
2021-07-12,86.21,86.22,86.18,86.2,1075565,SHY
2021-07-13,86.16,86.16,86.13,86.13,1800287,SHY
2021-07-14,86.17,86.19,86.17,86.19,1446333,SHY
2021-07-15,86.2,86.2,86.18,86.2,1256571,SHY
2021-07-16,86.17,86.21,86.16,86.19,1616274,SHY
2021-07-19,86.24,86.28,86.23,86.23,9042325,SHY
2021-07-20,86.28,86.29,86.25,86.27,1738693,SHY
2021-07-21,86.25,86.26,86.23,86.24,1930823,SHY
2021-07-22,86.24,86.26,86.23,86.25,2138745,SHY
2021-07-23,86.24,86.26,86.24,86.26,1202771,SHY
2021-07-26,86.26,86.26,86.24,86.24,1380593,SHY
2021-07-27,86.27,86.27,86.26,86.26,1182108,SHY
2021-07-28,86.26,86.28,86.22,86.27,2283442,SHY
2021-07-29,86.25,86.27,86.25,86.27,1024308,SHY
2021-07-30,86.28,86.29,86.27,86.28,1837791,SHY
2021-08-02,86.29,86.32,86.29,86.31,2508433,SHY
2021-08-03,86.31,86.32,86.3,86.31,1086220,SHY
2021-08-04,86.32,86.34,86.26,86.28,1625030,SHY
2021-08-05,86.24,86.25,86.22,86.24,1204188,SHY
2021-08-06,86.21,86.22,86.21,86.21,1275457,SHY
2021-08-09,86.22,86.23,86.18,86.18,1590229,SHY
2021-08-10,86.18,86.19,86.15,86.15,956860,SHY
2021-08-11,86.17,86.2,86.17,86.19,1586186,SHY
2021-08-12,86.18,86.19,86.17,86.19,1489341,SHY
2021-08-13,86.18,86.21,86.18,86.2,1098552,SHY
2021-08-16,86.22,86.24,86.21,86.22,1528005,SHY
2021-08-17,86.21,86.23,86.2,86.2,1283937,SHY
2021-08-18,86.2,86.22,86.18,86.2,2071489,SHY
2021-08-19,86.22,86.22,86.19,86.2,1436510,SHY
2021-08-20,86.2,86.21,86.19,86.2,1476908,SHY
2021-08-23,86.19,86.2,86.18,86.2,1232674,SHY
2021-08-24,86.2,86.2,86.18,86.19,1034488,SHY
2021-08-25,86.2,86.2,86.17,86.18,1111020,SHY
2021-08-26,86.19,86.2,86.17,86.18,1803290,SHY
2021-08-27,86.2,86.24,86.17,86.24,2029876,SHY
2021-08-30,86.23,86.26,86.23,86.26,1166932,SHY
2021-08-31,86.25,86.26,86.25,86.25,1677601,SHY
2021-09-01,86.24,86.24,86.22,86.23,1134508,SHY
2021-09-02,86.23,86.24,86.22,86.23,1379531,SHY
2021-09-03,86.23,86.24,86.23,86.23,955269,SHY
2021-09-07,86.22,86.22,86.2,86.2,1086727,SHY
2021-09-08,86.22,86.23,86.21,86.22,1036534,SHY
2021-09-09,86.21,86.24,86.21,86.24,1370000,SHY
2021-09-10,86.21,86.23,86.21,86.21,1080303,SHY
2021-09-13,86.22,86.23,86.21,86.23,883350,SHY
2021-09-14,86.24,86.25,86.23,86.24,1209486,SHY
