date,open,high,low,close,volume,symbol
2021-05-03,419.43,419.84,417.66,418.2,42812863,SPY
2021-05-04,416.08,416.6,411.67,415.62,73725627,SPY
2021-05-05,417.38,417.63,414.94,415.75,45487442,SPY
2021-05-06,415.83,419.21,413.67,419.07,58474689,SPY
2021-05-07,419.91,422.82,419.16,422.12,47895485,SPY
2021-05-10,422.5,422.74,417.81,417.94,60675375,SPY
2021-05-11,413.1,415.27,410.06,414.21,91900172,SPY
2021-05-12,411.23,412.59,404.0,405.41,97771885,SPY
2021-05-13,407.07,412.35,407.02,410.28,86486454,SPY
2021-05-14,413.2,417.49,413.18,416.58,56440389,SPY
2021-05-17,415.39,416.39,413.36,415.52,49484378,SPY
2021-05-18,415.8,416.06,411.77,411.94,44748296,SPY
2021-05-19,406.92,411.05,405.33,410.86,80506327,SPY
2021-05-20,411.8,416.63,411.67,415.28,57708509,SPY
2021-05-21,416.87,418.2,414.45,414.94,50693319,SPY
2021-05-24,417.34,420.32,417.08,419.17,37787987,SPY
2021-05-25,420.33,420.71,417.62,418.24,41059273,SPY
2021-05-26,418.87,419.61,417.76,419.07,33123848,SPY
2021-05-27,420.17,420.72,419.12,419.29,42573374,SPY
2021-05-28,420.97,421.25,419.79,420.04,37905746,SPY
2021-06-01,422.57,422.72,419.2,419.67,37991962,SPY
2021-06-02,420.37,421.23,419.29,420.33,32147330,SPY
2021-06-03,417.87,419.99,416.28,418.77,43319040,SPY
2021-06-04,420.75,422.92,420.68,422.6,34318552,SPY
2021-06-07,422.59,422.78,421.19,422.19,32237011,SPY
2021-06-08,423.24,423.25,420.32,422.28,33648889,SPY
2021-06-09,423.18,423.26,421.41,421.65,29603473,SPY
2021-06-10,422.96,424.63,421.55,423.61,35359647,SPY
2021-06-11,424.19,424.42,422.82,424.31,27518218,SPY
2021-06-14,424.43,425.29,423.1,425.26,27509719,SPY
2021-06-15,425.43,425.46,423.54,424.48,32346603,SPY
2021-06-16,424.63,424.87,419.94,422.11,54533237,SPY
2021-06-17,421.67,423.02,419.32,421.97,51630382,SPY
2021-06-18,417.08,417.83,414.7,414.92,60605189,SPY
2021-06-21,416.8,421.06,415.93,420.86,49959606,SPY
2021-06-22,420.85,424.0,420.08,423.11,39834327,SPY
2021-06-23,423.18,424.05,422.51,422.6,32785078,SPY
2021-06-24,424.89,425.55,424.62,425.1,31151444,SPY
2021-06-25,425.9,427.1,425.55,426.61,38243250,SPY
2021-06-28,427.17,427.65,425.89,427.47,30996675,SPY
2021-06-29,427.89,428.56,427.13,427.7,26376041,SPY
2021-06-30,427.2,428.78,427.18,428.06,35945514,SPY
2021-07-01,428.83,430.6,428.8,430.43,37526382,SPY
2021-07-02,431.67,434.1,431.33,433.72,39305292,SPY
2021-07-06,433.78,434.01,430.01,432.93,49209657,SPY
2021-07-07,433.66,434.76,431.51,434.46,45817309,SPY
2021-07-08,428.78,431.73,427.52,430.92,71250749,SPY
2021-07-09,432.53,435.84,432.31,435.52,48692553,SPY
2021-07-12,435.42,437.35,434.97,437.08,34329441,SPY
2021-07-13,436.26,437.84,435.31,435.59,39330258,SPY
2021-07-14,437.39,437.92,434.91,436.24,43446458,SPY
2021-07-15,434.81,435.53,432.72,434.75,43711455,SPY
2021-07-16,436.03,436.06,430.92,431.34,52496211,SPY
2021-07-19,426.19,426.71,421.97,424.97,108917635,SPY
2021-07-20,425.68,432.42,424.83,431.06,72046979,SPY
2021-07-21,432.36,434.7,432.14,434.55,42962308,SPY
2021-07-22,434.74,435.72,433.69,435.46,33032651,SPY
2021-07-23,437.53,440.3,436.79,439.94,42776491,SPY
2021-07-26,439.34,441.03,439.26,441.02,28862919,SPY
2021-07-27,439.91,439.94,435.99,439.01,50680170,SPY
2021-07-28,439.68,440.3,437.31,438.83,38076966,SPY
2021-07-29,439.83,441.8,439.81,440.65,33229494,SPY
2021-07-30,437.91,440.06,437.77,438.51,45038527,SPY
2021-08-02,440.34,440.93,437.21,437.59,43282284,SPY
2021-08-03,438.41,441.28,436.1,441.15,44885427,SPY
2021-08-04,439.77,440.41,438.73,438.98,34141033,SPY
2021-08-05,440.22,441.85,439.88,441.76,27405984,SPY
2021-08-06,442.1,442.94,441.8,442.49,30511040,SPY
2021-08-09,442.46,442.8,441.31,442.13,24423863,SPY
2021-08-10,442.61,443.44,441.88,442.68,30780522,SPY
2021-08-11,443.8,443.89,442.62,443.78,29842850,SPY
2021-08-12,443.62,445.26,442.66,445.11,28629745,SPY
2021-08-13,445.59,445.93,445.07,445.92,25183718,SPY
2021-08-16,444.54,447.11,442.87,446.97,44730284,SPY
2021-08-17,444.24,444.96,440.85,444.04,69304089,SPY
2021-08-18,442.96,444.63,438.92,439.18,59361388,SPY
2021-08-19,436.27,441.14,436.12,439.86,74711742,SPY
2021-08-20,440.23,443.71,439.71,443.36,46674447,SPY
2021-08-23,445.16,448.23,445.14,447.26,37955296,SPY
2021-08-24,447.97,448.54,447.42,447.97,25704116,SPY
2021-08-25,448.17,449.46,447.77,448.91,28282215,SPY
2021-08-26,448.61,448.86,446.16,446.26,46761892,SPY
2021-08-27,447.12,450.65,447.06,450.25,46019663,SPY
2021-08-30,450.99,453.07,450.71,452.23,32316691,SPY
2021-08-31,452.13,452.49,450.92,451.56,38062255,SPY
2021-09-01,452.58,453.11,451.54,451.8,35851903,SPY
2021-09-02,453.32,454.05,451.91,453.19,31382025,SPY
2021-09-03,451.98,453.63,451.55,453.08,31190930,SPY
2021-09-07,452.71,452.81,450.74,451.46,35654750,SPY
2021-09-08,450.89,451.67,448.86,450.91,41620897,SPY
2021-09-09,450.7,452.57,448.72,448.98,43518755,SPY
2021-09-10,451.04,451.49,445.31,445.44,60848574,SPY
2021-09-13,448.65,448.92,444.11,446.58,58661421,SPY
2021-09-14,448.12,448.34,443.22,444.17,54640106,SPY
2021-09-15,444.62,448.41,443.44,447.88,54633479,SPY
2021-09-16,447.32,448.36,444.02,447.17,50865867,SPY
2021-09-17,444.92,445.37,441.02,441.4,72060821,SPY
2021-09-20,434.88,436.56,428.86,434.04,121956027,SPY
