date,open,high,low,close,volume,symbol
2021-05-03,138.7,139.65,138.28,138.52,13817290,TLT
2021-05-04,139.49,140.16,139.15,139.46,15966348,TLT
2021-05-05,139.01,139.85,138.92,139.69,10098565,TLT
2021-05-06,139.25,140.19,139.2,139.92,12175335,TLT
2021-05-07,140.1,140.6,138.91,139.23,15378113,TLT
2021-05-10,138.95,139.25,137.69,137.82,12858547,TLT
2021-05-11,137.23,137.48,136.77,137.04,12590785,TLT
2021-05-12,136.67,136.8,135.36,135.6,17608689,TLT
2021-05-13,135.93,136.37,135.63,135.81,11379729,TLT
2021-05-14,136.53,137.08,136.22,137.08,13072366,TLT
2021-05-17,136.83,137.17,136.56,136.79,5269213,TLT
2021-05-18,136.4,136.57,136.07,136.44,6333454,TLT
2021-05-19,136.54,137.3,135.62,136.11,12591712,TLT
2021-05-20,136.76,137.49,136.67,137.23,10735133,TLT
2021-05-21,137.66,137.7,137.06,137.67,8073259,TLT
2021-05-24,137.99,138.58,137.89,138.18,5732896,TLT
2021-05-25,138.63,139.5,138.62,139.46,8903782,TLT
2021-05-26,139.59,139.91,138.88,139.22,8406576,TLT
2021-05-27,138.52,138.69,137.99,138.66,9374269,TLT
2021-05-28,138.58,139.3,138.34,138.44,8845906,TLT
2021-06-01,137.82,138.26,137.25,138.21,9016481,TLT
2021-06-02,138.55,138.79,138.32,138.53,5225384,TLT
2021-06-03,138.51,138.51,137.84,138.01,8825155,TLT
2021-06-04,138.54,139.9,138.52,139.9,13083150,TLT
2021-06-07,139.59,139.71,139.32,139.47,7021237,TLT
2021-06-08,140.65,140.68,140.21,140.45,8447641,TLT
2021-06-09,141.77,142.15,141.25,141.69,10574228,TLT
2021-06-10,140.83,142.56,140.68,142.54,16652619,TLT
2021-06-11,142.31,142.4,141.84,142.31,7808594,TLT
2021-06-14,142.1,142.1,141.01,141.22,7135557,TLT
2021-06-15,140.8,141.09,140.48,141.05,11550022,TLT
2021-06-16,141.4,141.67,140.21,140.93,16384262,TLT
2021-06-17,141.86,144.93,141.64,143.04,28413563,TLT
2021-06-18,144.28,146.04,144.12,145.73,22108502,TLT
2021-06-21,144.39,144.49,143.02,143.29,12557439,TLT
2021-06-22,142.17,143.68,142.12,143.64,11444607,TLT
2021-06-23,143.13,143.5,142.71,143.27,9427116,TLT
2021-06-24,143.42,143.9,143.33,143.5,7282916,TLT
2021-06-25,143.27,143.4,141.37,142.01,13397832,TLT
2021-06-28,142.72,143.8,142.7,143.47,8982646,TLT
2021-06-29,143.1,143.72,143.04,143.71,7747494,TLT
2021-06-30,144.25,144.93,144.07,144.35,13547972,TLT
2021-07-01,143.98,144.31,143.53,144.17,9291745,TLT
2021-07-02,144.23,145.04,144.11,145.04,7654811,TLT
2021-07-06,145.72,146.99,145.71,146.74,15624189,TLT
2021-07-07,147.57,148.56,147.22,148.04,17866595,TLT
2021-07-08,148.88,149.44,148.17,148.62,14975744,TLT
2021-07-09,146.87,146.99,146.49,146.53,10802341,TLT
2021-07-12,147.09,147.23,146.17,146.34,8780941,TLT
2021-07-13,146.82,147.46,144.64,145.22,18426821,TLT
2021-07-14,146.01,146.92,145.81,146.87,13677696,TLT
2021-07-15,147.95,148.6,147.03,148.49,14072626,TLT
2021-07-16,147.34,148.34,147.32,148.21,10460227,TLT
2021-07-19,150.95,151.95,150.62,151.46,31436232,TLT
2021-07-20,152.53,152.71,149.76,150.0,21204041,TLT
2021-07-21,148.18,148.5,146.67,148.1,15253608,TLT
2021-07-22,148.11,149.81,148.06,149.5,15219271,TLT
2021-07-23,147.94,148.66,147.89,148.5,10750491,TLT
2021-07-26,149.0,149.06,147.88,148.06,9249461,TLT
2021-07-27,149.34,149.69,148.99,149.64,9582234,TLT
2021-07-28,148.67,149.67,148.27,149.65,12690816,TLT
2021-07-29,148.78,149.22,148.53,148.82,8535489,TLT
2021-07-30,149.13,149.72,149.06,149.52,12451600,TLT
2021-08-02,149.45,151.23,149.18,150.67,16710093,TLT
2021-08-03,150.75,151.23,150.39,150.75,11055681,TLT
2021-08-04,151.5,151.82,149.72,151.06,16017804,TLT
2021-08-05,150.76,150.92,150.0,150.29,13194660,TLT
2021-08-06,148.32,148.76,147.69,147.78,16537782,TLT
2021-08-09,148.15,148.56,147.23,147.25,11187715,TLT
2021-08-10,147.49,147.57,146.56,146.57,11384723,TLT
2021-08-11,146.41,147.23,145.71,146.48,15320942,TLT
2021-08-12,146.09,146.44,145.43,146.24,12626935,TLT
2021-08-13,146.83,148.56,146.81,148.55,14622624,TLT
2021-08-16,149.19,150.02,148.81,148.91,14593832,TLT
2021-08-17,148.88,149.47,148.67,148.85,11313976,TLT
2021-08-18,148.71,149.47,148.45,149.35,11542360,TLT
2021-08-19,150.29,150.46,149.81,150.45,11933675,TLT
2021-08-20,150.59,150.81,150.11,150.55,9905253,TLT
2021-08-23,150.2,150.5,149.92,150.45,8982818,TLT
2021-08-24,149.76,150.07,149.28,149.28,11415486,TLT
2021-08-25,149.21,149.37,147.58,148.04,13209346,TLT
2021-08-26,147.97,148.56,147.51,148.45,13977603,TLT
2021-08-27,148.57,149.49,148.33,149.46,12379405,TLT
2021-08-30,149.0,149.9,148.93,149.85,9079451,TLT
