date,open,high,low,close,volume,symbol
2021-04-26,23.68,24.11,23.68,23.93,34459106,XLE
2021-04-27,24.02,24.31,23.91,24.22,37652216,XLE
2021-04-28,24.4,25.15,24.38,25.06,61687728,XLE
2021-04-29,25.42,25.65,25.03,25.34,60223536,XLE
2021-04-30,24.94,25.32,24.64,24.7,50937176,XLE
2021-05-03,24.98,25.44,24.9,25.38,42607676,XLE
2021-05-04,25.43,25.61,25.1,25.39,50023016,XLE
2021-05-05,25.71,26.29,25.49,26.21,72360620,XLE
2021-05-06,26.21,26.35,25.72,26.35,54554578,XLE
2021-05-07,26.11,26.86,25.98,26.82,57330438,XLE
2021-05-10,27.15,27.57,26.81,26.83,60367956,XLE
2021-05-11,26.26,26.65,25.91,26.14,97825096,XLE
2021-05-12,26.28,27.04,26.14,26.26,75237282,XLE
2021-05-13,25.91,26.43,25.59,25.94,72289860,XLE
2021-05-14,26.23,26.85,26.23,26.75,51715666,XLE
2021-05-17,26.65,27.38,26.61,27.36,58378370,XLE
2021-05-18,27.33,27.43,26.68,26.73,63030988,XLE
2021-05-19,26.11,26.36,25.7,26.07,80677236,XLE
2021-05-20,26.06,26.15,25.66,26.03,48811582,XLE
2021-05-21,26.32,26.47,26.06,26.08,43693308,XLE
2021-05-24,26.26,26.4,25.97,26.34,39528894,XLE
2021-05-25,26.27,26.35,25.77,25.81,43926998,XLE
2021-05-26,25.83,26.13,25.71,26.04,33962416,XLE
2021-05-27,26.14,26.38,25.91,26.06,35504680,XLE
2021-05-28,26.19,26.24,25.97,26.11,34293562,XLE
2021-06-01,26.62,27.17,26.61,27.11,66298908,XLE
2021-06-02,27.3,27.75,26.96,27.61,62533902,XLE
2021-06-03,27.5,27.85,27.33,27.69,53896390,XLE
2021-06-04,27.88,27.99,27.46,27.88,45350164,XLE
2021-06-07,27.87,28.04,27.72,27.75,36188830,XLE
2021-06-08,27.64,28.05,27.33,28.0,50095006,XLE
2021-06-09,28.07,28.2,27.81,27.82,47745744,XLE
2021-06-10,28.2,28.33,27.49,27.79,52641784,XLE
2021-06-11,27.89,28.04,27.66,27.69,33636692,XLE
2021-06-14,27.79,27.96,27.35,27.57,33677930,XLE
2021-06-15,27.75,28.17,27.68,28.1,47187384,XLE
2021-06-16,28.05,28.28,27.7,27.95,55575748,XLE
2021-06-17,27.88,28.11,26.63,27.0,97933466,XLE
2021-06-18,26.43,26.77,26.18,26.2,81277256,XLE
2021-06-21,26.18,27.09,26.15,27.04,65285638,XLE
2021-06-22,26.97,27.32,26.68,27.22,40449990,XLE
2021-06-23,27.47,27.78,27.24,27.29,36628244,XLE
2021-06-24,27.42,27.55,27.15,27.53,31078724,XLE
2021-06-25,27.6,27.68,27.44,27.67,30574720,XLE
2021-06-28,27.55,27.57,26.63,26.74,54786402,XLE
2021-06-29,26.9,27.05,26.57,26.61,28357836,XLE
2021-06-30,26.7,27.02,26.66,26.93,37791580,XLE
2021-07-01,27.57,27.64,27.15,27.41,43619740,XLE
2021-07-02,27.3,27.43,27.06,27.35,27796114,XLE
2021-07-06,27.25,27.31,26.35,26.46,58417704,XLE
2021-07-07,26.42,26.66,25.74,26.03,56108670,XLE
2021-07-08,25.55,26.12,25.48,25.88,43708790,XLE
2021-07-09,26.21,26.45,25.9,26.43,42705840,XLE
2021-07-12,26.14,26.55,25.94,26.39,36858476,XLE
2021-07-13,26.28,26.42,26.03,26.18,44890452,XLE
2021-07-14,26.27,26.57,25.31,25.41,59068626,XLE
2021-07-15,25.13,25.43,24.93,25.05,53057760,XLE
2021-07-16,25.25,25.25,24.29,24.34,62583632,XLE
2021-07-19,23.51,23.82,23.15,23.48,103363126,XLE
2021-07-20,23.49,24.05,23.29,23.8,77107530,XLE
2021-07-21,24.27,24.83,24.21,24.63,70130774,XLE
2021-07-22,24.61,24.61,24.14,24.35,42688694,XLE
2021-07-23,24.44,24.44,24.02,24.26,42844136,XLE
2021-07-26,24.34,24.96,24.28,24.86,44279632,XLE
2021-07-27,24.67,24.71,24.34,24.63,42258732,XLE
2021-07-28,24.71,25.06,24.47,24.86,34178618,XLE
2021-07-29,25.18,25.29,24.95,25.1,38394406,XLE
2021-07-30,25.05,25.15,24.55,24.7,44758228,XLE
2021-08-02,24.71,25.31,24.47,24.51,53611174,XLE
2021-08-03,24.43,24.98,24.2,24.93,58551748,XLE
2021-08-04,24.5,24.79,24.22,24.25,56870686,XLE
2021-08-05,24.4,24.84,24.3,24.53,42554720,XLE
2021-08-06,24.74,24.95,24.62,24.75,32827818,XLE
2021-08-09,24.4,24.6,24.24,24.41,37772492,XLE
2021-08-10,24.53,24.9,24.5,24.84,43322912,XLE
2021-08-11,24.77,25.08,24.61,25.03,44834496,XLE
2021-08-12,25.01,25.15,24.7,25.0,30007328,XLE
2021-08-13,25.02,25.02,24.65,24.71,26828196,XLE
2021-08-16,24.38,24.39,24.04,24.25,43692004,XLE
2021-08-17,24.02,24.4,23.79,24.0,45792106,XLE
2021-08-18,24.0,24.19,23.48,23.5,51703252,XLE
2021-08-19,23.1,23.25,22.57,22.9,86797880,XLE
2021-08-20,22.68,23.09,22.59,22.95,54151536,XLE
2021-08-23,23.5,23.87,23.45,23.81,50059506,XLE
2021-08-24,24.0,24.33,23.97,24.2,40338248,XLE
2021-08-25,24.18,24.52,23.99,24.39,35832308,XLE
2021-08-26,24.25,24.38,23.98,24.02,35435528,XLE
2021-08-27,24.29,24.82,24.26,24.66,41216980,XLE
2021-08-30,24.75,24.85,24.36,24.36,29361480,XLE
2021-08-31,24.25,24.47,24.14,24.2,40672008,XLE
2021-09-01,24.18,24.32,23.75,23.85,56048742,XLE
2021-09-02,24.07,24.65,24.07,24.45,56789356,XLE
2021-09-03,24.4,24.58,24.2,24.31,35001958,XLE
2021-09-07,24.2,24.5,24.08,24.17,35036024,XLE
2021-09-08,24.32,24.46,23.84,23.86,40891946,XLE
2021-09-09,23.73,24.28,23.57,23.91,43566334,XLE
2021-09-10,24.28,24.33,23.83,23.9,32930646,XLE
2021-09-13,24.23,24.75,24.21,24.58,62892980,XLE
2021-09-14,24.8,24.85,24.11,24.23,51022594,XLE
2021-09-15,24.57,25.15,24.53,25.13,68985486,XLE
2021-09-16,25.11,25.11,24.71,24.85,54362770,XLE
2021-09-17,24.74,25.11,24.6,24.66,54710690,XLE
2021-09-20,23.78,23.91,23.24,23.62,71283846,XLE
2021-09-21,23.93,24.03,23.43,23.68,44511262,XLE
2021-09-22,24.08,24.69,24.08,24.41,70750474,XLE
2021-09-23,24.54,25.34,24.43,25.26,44988578,XLE
2021-09-24,25.13,25.58,25.08,25.45,47896006,XLE
2021-09-27,26.02,26.46,25.98,26.36,73753146,XLE
2021-09-28,26.61,26.92,26.39,26.45,104678762,XLE
2021-09-29,26.42,26.61,26.1,26.45,62238656,XLE
2021-09-30,26.46,26.52,26.05,26.05,80048024,XLE
2021-10-01,26.25,26.95,26.24,26.92,73911868,XLE
2021-10-04,27.22,27.66,27.08,27.36,93387694,XLE
2021-10-05,27.75,28.03,27.23,27.52,83546112,XLE
2021-10-06,27.07,27.38,26.75,27.23,88615966,XLE
2021-10-07,27.3,27.59,27.17,27.44,58899782,XLE
2021-10-08,27.75,28.35,27.67,28.29,77051416,XLE
2021-10-11,28.73,28.8,28.15,28.18,70750294,XLE
2021-10-12,28.14,28.48,28.01,28.21,59355628,XLE
2021-10-13,28.0,28.33,27.68,28.18,52537098,XLE
2021-10-14,28.5,28.65,28.24,28.53,42085028,XLE
2021-10-15,28.85,28.96,28.65,28.67,37169942,XLE
2021-10-18,28.94,29.11,28.53,28.68,58815670,XLE
2021-10-19,28.81,29.11,28.65,29.01,39632334,XLE
2021-10-20,28.79,29.25,28.68,29.25,44208550,XLE
2021-10-21,29.02,29.13,28.47,28.71,55191992,XLE
2021-10-22,28.81,29.0,28.54,28.98,39207400,XLE
2021-10-25,29.32,29.56,29.18,29.4,45322372,XLE
2021-10-26,29.5,29.71,29.39,29.57,40467568,XLE
2021-10-27,29.23,29.41,28.66,28.72,58315416,XLE
2021-10-28,28.56,28.95,28.56,28.93,38425280,XLE
2021-10-29,29.07,29.14,28.61,28.74,39420232,XLE
2021-11-01,29.02,29.31,28.94,29.23,43290280,XLE
2021-11-02,29.06,29.29,28.86,28.96,29947856,XLE
2021-11-03,28.61,29.02,28.49,28.72,41794376,XLE
2021-11-04,29.14,29.22,28.5,28.75,59016378,XLE
2021-11-05,29.15,29.26,28.89,29.13,38648208,XLE
2021-11-08,29.38,29.7,29.23,29.4,35223792,XLE
2021-11-09,29.43,29.53,29.01,29.52,35204184,XLE
2021-11-10,29.39,29.49,28.56,28.74,67064980,XLE
2021-11-11,28.75,29.04,28.75,28.85,37431752,XLE
2021-11-12,28.69,28.89,28.6,28.78,28939882,XLE
2021-11-15,28.8,29.18,28.5,29.02,36354824,XLE
2021-11-16,29.1,29.3,28.92,29.06,30614718,XLE
2021-11-17,28.78,29.19,28.52,28.61,42264792,XLE
2021-11-18,28.54,28.78,28.1,28.45,47997180,XLE
