date,open,high,low,close,volume,symbol,metric
2021-05-03,0.1338221,0.13742561,0.1338221,0.13471107,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-04,0.13533018,0.14231496,0.13288551,0.13826696,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-05,0.13788598,0.14099738,0.13690176,0.13817172,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-06,0.13883845,0.13883845,0.13110756,0.13410784,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-07,0.13344111,0.13344111,0.12545624,0.1274723,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-10,0.12756755,0.13506031,0.12382116,0.13499681,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-11,0.13523493,0.14012428,0.12736118,0.13207591,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-12,0.13248864,0.13980679,0.13002809,0.13728274,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-13,0.13694938,0.13694938,0.12923437,0.13169492,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-14,0.13306012,0.13306012,0.12575785,0.1282184,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-17,0.12840889,0.13255214,0.12840889,0.13040908,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-18,0.13028209,0.13271089,0.12921849,0.13091707,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-19,0.13117106,0.13956867,0.13117106,0.13698113,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-20,0.13525081,0.13525081,0.12599597,0.12805965,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-21,0.12709131,0.12739293,0.12431327,0.12461489,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-24,0.12390053,0.12598009,0.12212259,0.12542449,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-25,0.12512287,0.12551973,0.12015415,0.12526574,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-26,0.12545624,0.12567848,0.12278932,0.12472601,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-27,0.12474188,0.12474188,0.11858257,0.11872544,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-05-28,0.11939217,0.12051926,0.11736024,0.11809046,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-01,0.11972554,0.12944074,0.11972554,0.12294806,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-02,0.12296394,0.125107,0.12058276,0.1217416,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-03,0.12124949,0.1241704,0.11918581,0.12063039,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-04,0.12113837,0.12113837,0.11104218,0.11153429,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-07,0.11199465,0.11477269,0.11175654,0.11477269,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-08,0.11389959,0.11747136,0.11226452,0.11604265,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-09,0.11683638,0.12610709,0.11683638,0.12169398,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-10,0.12221784,0.12221784,0.10656557,0.11593153,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-11,0.1176936,0.11983666,0.11542355,0.11748723,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-14,0.11901119,0.12304331,0.11901119,0.12128124,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-15,0.12164635,0.12347192,0.12063039,0.12140824,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-16,0.12296394,0.1242974,0.12072563,0.12215434,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-17,0.1242974,0.14056877,0.11380435,0.12553561,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-18,0.12586897,0.14731543,0.12586897,0.14520412,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-21,0.14298169,0.14990298,0.1363144,0.13869558,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-22,0.13929881,0.13929881,0.12832952,0.13080594,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-23,0.13091707,0.13091707,0.12132886,0.12282107,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-24,0.12290044,0.12463076,0.12075738,0.12337668,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-25,0.12413865,0.12413865,0.11910643,0.11910643,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-28,0.12158286,0.12358304,0.12010653,0.12090025,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-29,0.12102725,0.1216781,0.11953504,0.12123362,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-06-30,0.12175748,0.12704369,0.12175748,0.1265357,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-07-01,0.12494825,0.12751992,0.12361479,0.12640871,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-07-02,0.12651983,0.12651983,0.11770948,0.11909056,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-07-06,0.12123362,0.132949,0.12123362,0.13109169,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-07-07,0.1315203,0.15049033,0.1315203,0.15034746,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-07-08,0.15063321,0.16318994,0.15063321,0.15385573,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-07-09,0.15603054,0.15603054,0.13975917,0.14147361,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-07-12,0.14356905,0.14760117,0.1419181,0.14248958,1,TLT,OPTION_IMPLIED_VOLATILITY
2021-07-13,0.14307694,0.14318806,0.13525081,0.1396163,1,TLT,OPTION_IMPLIED_VOLATILITY
