symbol,signal_date,entry_date,entry_price,direction,atr_at_signal,upper_channel,lower_channel,channel_width,trend_filter,breakout_strength,volume,target_price,stop_price,label_horizon_days,label_target_atr,label_stop_atr,label_event,label_event_date,label_event_price,label,days_to_event
IWM,2021-06-07,2021-06-08,231.45,LONG,3.365714285714286,228.92,211.54,17.379999999999995,222.067,0.45458404074702913,16210388.0,236.4985714285714,228.0842857142857,15,1.5,1.0,stop_first,2021-06-16,228.0842857142857,0,9
IWM,2021-06-08,2021-06-09,233.54,LONG,3.3471428571428583,230.78,211.54,19.24000000000001,222.72850000000003,0.6303883909517666,18954869.0,238.56071428571428,230.19285714285712,15,1.5,1.0,stop_first,2021-06-10,230.19285714285712,0,2
TLT,2021-06-08,2021-06-09,141.77,LONG,1.0921428571428586,139.91,135.36,4.549999999999983,137.91500000000002,0.4944408109875656,8447641.0,143.4082142857143,140.67785714285716,15,1.5,1.0,stop_first,2021-06-15,140.67785714285716,0,7
TLT,2021-06-09,2021-06-10,140.83,LONG,1.0935714285714309,140.68,135.36,5.319999999999993,138.1475,0.9235793598954829,10574228.0,142.47035714285715,139.73642857142858,15,1.5,1.0,target_first,2021-06-10,142.47035714285715,1,1
QQQ,2021-06-10,2021-06-11,340.36,LONG,3.6464285714285887,339.29,316.0,23.29000000000002,330.9825,0.29069539666993066,24769313.0,345.8296428571429,336.7135714285714,15,1.5,1.0,target_first,2021-06-17,345.8296428571429,1,7
TLT,2021-06-10,2021-06-11,142.31,LONG,1.1292857142857164,142.15,135.36,6.789999999999992,138.49450000000002,0.34535104364325103,16652619.0,144.0039285714286,141.1807142857143,15,1.5,1.0,stop_first,2021-06-14,141.1807142857143,0,4
QQQ,2021-06-11,2021-06-14,341.68,LONG,3.4564285714285865,340.46,316.3,24.159999999999968,332.0775,0.2256664600124068,15906351.0,346.8646428571429,338.2235714285714,15,1.5,1.0,stop_first,2021-06-16,338.2235714285714,0,3
QQQ,2021-06-14,2021-06-15,344.15,LONG,3.2700000000000142,341.25,316.3,24.94999999999999,332.9835,0.9969418960244577,19904394.0,349.055,340.87999999999994,15,1.5,1.0,stop_first,2021-06-16,340.87999999999994,0,2
SPY,2021-06-14,2021-06-15,425.43,LONG,2.5321428571428606,424.63,405.33,19.30000000000001,419.25100000000003,0.2488011283497863,27509719.0,429.2282142857143,422.89785714285716,15,1.5,1.0,stop_first,2021-06-16,422.89785714285716,0,2
QQQ,2021-06-17,2021-06-18,343.63,LONG,3.930714285714296,344.51,316.3,28.20999999999998,335.95300000000003,0.2111575504270352,39129555.0,349.5260714285714,339.6992857142857,15,1.5,1.0,target_first,2021-06-24,349.5260714285714,1,7
