date,close,cash_flow,position_delta,cash,position_shares,market_value,equity,daily_return,running_peak,drawdown,open_positions
2021-04-26,341.63,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-04-27,340.15,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-04-28,339.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-04-29,340.22,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-04-30,337.99,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-03,336.19,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-04,330.14,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-05,329.03,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-06,331.51,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-07,334.2,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-10,325.76,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-11,325.31,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-12,316.89,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-13,319.34,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-14,326.39,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-17,324.41,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-18,322.22,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-19,322.59,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-20,328.83,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-21,327.01,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-24,332.51,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-25,332.97,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-26,334.13,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-27,332.88,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-05-28,333.93,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-06-01,332.82,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-06-02,333.47,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-06-03,330.0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-06-04,335.6,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-06-07,336.6,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-06-08,336.76,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-06-09,336.84,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-06-10,340.35,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2021-06-11,341.24,-46675.94932,137.0,53324.05068,137.0,46749.880000000005,100073.93068,0.0007393068000001168,100073.93068,0.0,1
2021-06-14,344.51,0.0,0.0,53324.05068,137.0,47197.869999999995,100521.92068,0.004476590426256921,100521.92068,0.0,1
2021-06-15,342.26,0.0,0.0,53324.05068,137.0,46889.619999999995,100213.67068,-0.0030664953267385275,100521.92068,-0.0030664953267385275,1
2021-06-16,341.01,46671.65162999999,-137.0,99995.70231,0.0,0.0,99995.70231,-0.0021750362851792326,100521.92068,-0.00523486187331379,0
2021-06-17,345.34,0.0,0.0,99995.70231,0.0,0.0,99995.70231,0.0,100521.92068,-0.00523486187331379,0
2021-06-18,342.63,-43684.65101,127.0,56311.05129999999,127.0,43514.01,99825.0613,-0.0017064834393680783,100521.92068,-0.00693241210758766,1
2021-06-21,344.36,0.0,0.0,56311.05129999999,127.0,43733.72,100044.7713,0.0022009503138666897,100521.92068,-0.004746719688325074,1
2021-06-22,347.57,0.0,0.0,56311.05129999999,127.0,44141.39,100452.44129999999,0.00407487562520914,100521.92068,-0.0006911863554734943,1
2021-06-23,347.74,44118.81702,-127.0,100429.86832,0.0,0.0,100429.86832,-0.00022471310510596698,100521.92068,-0.0009157441419472834,0
2021-06-24,349.89,0.0,0.0,100429.86832,0.0,0.0,100429.86832,0.0,100521.92068,-0.0009157441419472834,0
2021-06-25,349.46,-47360.763450000006,135.0,53069.10486999999,135.0,47177.1,100246.20486999999,-0.0018287731834397691,100521.92068,-0.0027428426370573744,1
2021-06-28,353.71,0.0,0.0,53069.10486999999,135.0,47750.85,100819.95486999999,0.005723408689077392,100819.95486999999,0.0,1
2021-06-29,354.99,0.0,0.0,53069.10486999999,135.0,47923.65,100992.75486999999,0.0017139464129181103,100992.75486999999,0.0,1
2021-06-30,354.43,47800.20195,-135.0,100869.30682,0.0,0.0,100869.30682,-0.0012223456044831993,100992.75486999999,-0.0012223456044831993,0
2021-07-01,354.57,0.0,0.0,100869.30682,0.0,0.0,100869.30682,0.0,100992.75486999999,-0.0012223456044831993,0
2021-07-02,358.64,0.0,0.0,100869.30682,0.0,0.0,100869.30682,0.0,100992.75486999999,-0.0012223456044831993,0
2021-07-06,360.19,-49988.46853,139.0,50880.83828999999,139.0,50066.409999999996,100947.24828999999,0.000772697587176685,100992.75486999999,-0.0004505925208058148,1
2021-07-07,360.95,0.0,0.0,50880.83828999999,139.0,50172.049999999996,101052.88828999999,0.0010464871681941101,101052.88828999999,0.0,1
2021-07-08,358.77,0.0,0.0,50880.83828999999,139.0,49869.03,100749.86828999998,-0.002998627799043252,101052.88828999999,-0.002998627799043252,1
2021-07-09,361.01,50130.20961,-139.0,101011.04789999999,0.0,0.0,101011.04789999999,0.0025923568381074347,101052.88828999999,-0.000414044474215558,0
2021-07-12,362.42,0.0,0.0,101011.04789999999,0.0,0.0,101011.04789999999,0.0,101052.88828999999,-0.000414044474215558,0
2021-07-13,362.42,0.0,0.0,101011.04789999999,0.0,0.0,101011.04789999999,0.0,101052.88828999999,-0.000414044474215558,0
2021-07-14,363.07,0.0,0.0,101011.04789999999,0.0,0.0,101011.04789999999,0.0,101052.88828999999,-0.000414044474215558,0
2021-07-15,360.52,0.0,0.0,101011.04789999999,0.0,0.0,101011.04789999999,0.0,101052.88828999999,-0.000414044474215558,0
2021-07-16,357.6,0.0,0.0,101011.04789999999,0.0,0.0,101011.04789999999,0.0,101052.88828999999,-0.000414044474215558,0
2021-07-19,354.67,0.0,0.0,101011.04789999999,0.0,0.0,101011.04789999999,0.0,101052.88828999999,-0.000414044474215558,0
2021-07-20,358.79,0.0,0.0,101011.04789999999,0.0,0.0,101011.04789999999,0.0,101052.88828999999,-0.000414044474215558,0
2021-07-21,361.56,0.0,0.0,101011.04789999999,0.0,0.0,101011.04789999999,0.0,101052.88828999999,-0.000414044474215558,0
2021-07-22,363.95,0.0,0.0,101011.04789999999,0.0,0.0,101011.04789999999,0.0,101052.88828999999,-0.000414044474215558,0
2021-07-23,368.2,0.0,0.0,101011.04789999999,0.0,0.0,101011.04789999999,0.0,101052.88828999999,-0.000414044474215558,0
2021-07-26,368.49,-43407.18382,118.0,57603.86407999999,118.0,43481.82,101085.68407999999,0.0007388912554782134,101085.68407999999,0.0,1
2021-07-27,364.43,0.0,0.0,57603.86407999999,118.0,43002.74,100606.60407999999,-0.004739345678472673,101085.68407999999,-0.004739345678472673,1
2021-07-28,365.83,0.0,0.0,57603.86407999999,118.0,43167.939999999995,100771.80407999999,0.001642039322474531,101085.68407999999,-0.0031050885479648738,1
2021-07-29,366.48,43201.39536,-118.0,100805.25944,0.0,0.0,100805.25944,0.00033199127777305826,101085.68407999999,-0.002774128132506548,0
2021-07-30,364.57,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-02,364.6,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-03,366.81,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-04,367.34,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-05,369.67,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-06,368.05,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-09,368.73,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-10,366.84,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-11,366.21,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-12,367.53,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-13,368.82,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-16,368.98,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-17,365.73,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-18,362.21,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-19,363.96,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-20,367.73,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-23,373.23,0.0,0.0,100805.25944,0.0,0.0,100805.25944,0.0,101085.68407999999,-0.002774128132506548,0
2021-08-24,374.37,-47898.09024,128.0,52907.1692,128.0,47919.36,100826.52919999999,0.00021099851454331464,101085.68407999999,-0.0025637149548782823,1
2021-08-25,374.8,0.0,0.0,52907.1692,128.0,47974.4,100881.5692,0.0005458880756554763,101085.68407999999,-0.002019226380646111,1
2021-08-26,372.42,0.0,0.0,52907.1692,128.0,47669.76,100576.9292,-0.0030197785622866347,101085.68407999999,-0.005032907326396052,1
2021-08-27,376.04,0.0,0.0,52907.1692,128.0,48133.12,101040.2892,0.004607020752031454,101085.68407999999,-0.0004490732828603683,1
2021-08-30,380.26,0.0,0.0,52907.1692,128.0,48673.28,101580.4492,0.005345986282074167,101580.4492,0.0,1
2021-08-31,379.95,48584.9664,-128.0,101492.1356,0.0,0.0,101492.1356,-0.0008693956435074091,101580.4492,-0.0008693956435074091,0
2021-09-01,380.58,0.0,0.0,101492.1356,0.0,0.0,101492.1356,0.0,101580.4492,-0.0008693956435074091,0
