date,close,cash_flow,position_delta,cash,position_shares,market_value,equity,daily_return,running_peak,drawdown,open_positions
2024-12-11,529.92,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0
2024-12-12,526.5,-58366.948639999995,110.5,41633.051360000005,110.5,58178.25,99811.30136000001,-0.001886986399999846,100000.0,-0.001886986399999846,1
2024-12-13,530.53,0.0,0.0,41633.051360000005,110.5,58623.564999999995,100256.61636,0.00446156891987437,100256.61636,0.0,1
2024-12-16,538.17,0.0,0.0,41633.051360000005,110.5,59467.784999999996,101100.83636,0.008420591384897591,101100.83636,0.0,1
2024-12-17,535.8,59146.69409999999,-110.5,100779.74546,0.0,0.0,100779.74546,-0.0031759470204247853,101100.83636,-0.0031759470204247853,0
2024-12-18,516.47,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2024-12-19,514.17,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2024-12-20,518.66,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2024-12-23,522.87,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2024-12-24,529.96,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2024-12-26,529.6,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2024-12-27,522.56,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2024-12-30,515.61,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2024-12-31,511.23,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-02,510.23,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-03,518.58,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-06,524.54,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-07,515.18,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-08,515.27,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-10,507.19,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-13,505.56,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-14,505.08,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-15,516.7,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-16,513.08,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-17,521.74,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-21,524.8,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-22,531.51,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-23,532.64,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-24,529.63,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-27,514.21,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-28,521.81,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-29,520.83,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-30,523.05,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-01-31,522.29,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-02-03,518.11,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-02-04,524.47,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-02-05,526.85,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-02-06,529.6,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-02-07,522.92,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-02-10,529.25,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-02-11,527.99,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-02-12,528.3,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-02-13,535.9,0.0,0.0,100779.74546,0.0,0.0,100779.74546,0.0,101100.83636,-0.0031759470204247853,0
2025-02-14,538.15,-40460.85243200001,75.4,60318.89302799999,75.4,40576.51,100895.403028,0.0011476271097141666,101100.83636,-0.0020319647136102237,1
2025-02-18,539.37,0.0,0.0,60318.89302799999,75.4,40668.49800000001,100987.391028,0.0009117164631817776,101100.83636,-0.001122100826110306,1
2025-02-19,539.52,0.0,0.0,60318.89302799999,75.4,40679.808000000005,100998.701028,0.00011199417951957003,101100.83636,-0.001010232315352133,1
